Timestamp,Open,High,Low,Close,Volume
2023-06-01 00:00:00,4.68,4.731,4.54,4.671,854699.12
2023-06-02 00:00:00,4.672,4.874,4.635,4.807,976047.15
2023-06-03 00:00:00,4.807,4.856,4.756,4.799,550457.59
2023-06-04 00:00:00,4.797,4.871,4.764,4.794,465042.52
2023-06-05 00:00:00,4.795,4.795,4.118,4.338,2549907.15
2023-06-06 00:00:00,4.338,4.473,4.208,4.421,1521590.43
2023-06-07 00:00:00,4.421,4.421,4.125,4.192,1075735.1
2023-06-08 00:00:00,4.191,4.23,4.12,4.177,830208.23
2023-06-09 00:00:00,4.178,4.349,4.11,4.274,1040597.68
2023-06-10 00:00:00,4.274,4.278,3.35,3.69,3875801.73
2023-06-11 00:00:00,3.693,3.77,3.614,3.655,1030087.77
2023-06-12 00:00:00,3.659,3.757,3.559,3.728,1129589.01
2023-06-13 00:00:00,3.729,4.047,3.71,3.968,2011595.45
2023-06-14 00:00:00,3.964,4.017,3.74,3.786,1378086.44
2023-06-15 00:00:00,3.786,4.01,3.69,3.962,2147474.93
2023-06-16 00:00:00,3.96,4.089,3.885,3.994,1039736.08
2023-06-17 00:00:00,3.994,4.067,3.925,3.98,677406.74
2023-06-18 00:00:00,3.982,4.068,3.902,3.96,691416.06
2023-06-19 00:00:00,3.96,3.995,3.862,3.955,686085.7
2023-06-20 00:00:00,3.955,4.21,3.896,4.171,1480701.73
2023-06-21 00:00:00,4.174,4.295,4.1,4.199,1633573.66
2023-06-22 00:00:00,4.199,4.34,4.107,4.14,1786440.66
2023-06-23 00:00:00,4.14,4.409,4.138,4.327,1258519.91
2023-06-24 00:00:00,4.329,4.4,4.161,4.262,952801.6
2023-06-25 00:00:00,4.265,4.473,4.23,4.328,1168966.54
2023-06-26 00:00:00,4.329,4.37,4.15,4.258,1218113.31
2023-06-27 00:00:00,4.258,4.406,4.243,4.333,798040.62
2023-06-28 00:00:00,4.336,4.34,3.922,4.044,1269240.42
2023-06-29 00:00:00,4.043,4.134,3.979,4.044,1033256.47
2023-06-30 00:00:00,4.044,4.271,3.8,4.096,2336212.68
2023-07-01 00:00:00,4.097,4.239,4.082,4.222,1005831.34
2023-07-02 00:00:00,4.222,4.23,4.084,4.196,920969.49
2023-07-03 00:00:00,4.195,4.58,4.147,4.463,2726657.48
2023-07-04 00:00:00,4.464,4.516,4.302,4.345,994565.23
2023-07-05 00:00:00,4.346,4.45,4.155,4.243,1170448.54
2023-07-06 00:00:00,4.245,4.399,4.038,4.054,1058074.28
2023-07-07 00:00:00,4.052,4.131,4.002,4.108,654261.08
2023-07-08 00:00:00,4.106,4.157,3.962,4.052,717162.34
2023-07-09 00:00:00,4.051,4.099,4.013,4.033,442394.05
2023-07-10 00:00:00,4.033,4.186,3.916,4.074,1142146.49
2023-07-11 00:00:00,4.075,4.176,4.035,4.114,795394.67
2023-07-12 00:00:00,4.114,4.228,4.031,4.124,1045548.59
2023-07-13 00:00:00,4.125,4.403,4.097,4.377,1733490.13
2023-07-14 00:00:00,4.378,4.518,4.12,4.253,2396183.82
2023-07-15 00:00:00,4.254,4.283,4.123,4.209,904151.1
2023-07-16 00:00:00,4.209,4.223,4.054,4.085,860043.17
2023-07-17 00:00:00,4.085,4.158,3.961,4.094,1382537.61
2023-07-18 00:00:00,4.095,4.119,3.932,4.074,1372270.82
2023-07-19 00:00:00,4.074,4.147,4.029,4.06,946521.96
2023-07-20 00:00:00,4.06,4.174,4.006,4.05,1309205.28
2023-07-21 00:00:00,4.051,4.138,4.016,4.067,784943.76
2023-07-22 00:00:00,4.067,4.17,4.06,4.135,742838.56
2023-07-23 00:00:00,4.135,4.33,4.133,4.215,2026099.67
2023-07-24 00:00:00,4.214,4.227,3.945,4.015,1722397.01
2023-07-25 00:00:00,4.016,4.076,3.975,4.019,918259.98
2023-07-26 00:00:00,4.019,4.124,3.977,4.083,976504.34
2023-07-27 00:00:00,4.085,4.236,4.051,4.214,1257116.82
2023-07-28 00:00:00,4.214,4.36,4.179,4.314,1913104.2
2023-07-29 00:00:00,4.315,4.388,4.278,4.334,689446.05
2023-07-30 00:00:00,4.334,4.373,4.19,4.27,1004278.4
2023-07-31 00:00:00,4.268,4.294,4.172,4.214,1005389.58
2023-08-01 00:00:00,4.212,4.254,4.08,4.253,1373151.61
2023-08-02 00:00:00,4.253,4.284,4.101,4.142,915140.18
2023-08-03 00:00:00,4.142,4.167,4.011,4.043,763995.35
2023-08-04 00:00:00,4.041,4.077,3.963,4.034,808471.14
2023-08-05 00:00:00,4.034,4.049,4.005,4.016,564191.77
2023-08-06 00:00:00,4.016,4.14,4.011,4.121,807022.92
2023-08-07 00:00:00,4.122,4.177,4.0,4.098,1456331.61
2023-08-08 00:00:00,4.098,4.198,4.055,4.104,1293030.35
2023-08-09 00:00:00,4.104,4.143,4.033,4.081,992970.03
2023-08-10 00:00:00,4.081,4.105,4.011,4.03,1199684.86
2023-08-11 00:00:00,4.03,4.051,3.999,4.035,579515.25
2023-08-12 00:00:00,4.033,4.068,4.019,4.046,580622.59
2023-08-13 00:00:00,4.047,4.089,4.025,4.03,787639.76
2023-08-14 00:00:00,4.03,4.133,4.02,4.053,1340834.27
2023-08-15 00:00:00,4.053,4.083,3.552,3.832,2005373.48
2023-08-16 00:00:00,3.832,3.856,3.568,3.702,1732544.35
2023-08-17 00:00:00,3.702,3.83,3.15,3.405,3287627.21
2023-08-18 00:00:00,3.405,3.538,3.385,3.506,1327012.73
2023-08-19 00:00:00,3.503,3.568,3.47,3.561,539302.18
2023-08-20 00:00:00,3.56,3.603,3.514,3.586,492795.61
2023-08-21 00:00:00,3.584,3.603,3.412,3.489,790869.24
2023-08-22 00:00:00,3.49,3.53,3.246,3.425,1401263.53
2023-08-23 00:00:00,3.426,3.638,3.371,3.601,2473000.85
2023-08-24 00:00:00,3.602,3.71,3.515,3.601,1513022.93
2023-08-25 00:00:00,3.6,3.603,3.458,3.515,1070188.91
2023-08-26 00:00:00,3.515,3.569,3.497,3.555,382518.28
2023-08-27 00:00:00,3.554,3.656,3.471,3.492,1173496.86
2023-08-28 00:00:00,3.491,3.509,3.425,3.489,914402.49
2023-08-29 00:00:00,3.492,3.744,3.419,3.649,2599391.01
2023-08-30 00:00:00,3.649,3.65,3.453,3.49,1734457.48
2023-08-31 00:00:00,3.489,3.498,3.254,3.34,1969865.34
2023-09-01 00:00:00,3.341,3.387,3.18,3.239,1108587.36
2023-09-02 00:00:00,3.239,3.279,3.209,3.255,565301.66
2023-09-03 00:00:00,3.257,3.282,3.199,3.257,651849.84
2023-09-04 00:00:00,3.257,3.34,3.2,3.272,1015202.97
2023-09-05 00:00:00,3.272,3.325,3.256,3.294,1069841.02
2023-09-06 00:00:00,3.295,3.38,3.24,3.37,1308772.56
2023-09-07 00:00:00,3.37,3.395,3.304,3.375,947136.28
2023-09-08 00:00:00,3.374,3.39,3.267,3.298,1008504.56
2023-09-09 00:00:00,3.298,3.308,3.254,3.262,493729.05
2023-09-10 00:00:00,3.261,3.261,3.035,3.094,1735001.26
2023-09-11 00:00:00,3.095,3.104,2.91,2.96,2480338.17
2023-09-12 00:00:00,2.96,3.089,2.923,2.93,1865393.03
2023-09-13 00:00:00,2.931,2.983,2.866,2.93,1838216.34
2023-09-14 00:00:00,2.932,2.986,2.902,2.921,1447760.58
2023-09-15 00:00:00,2.921,3.036,2.886,3.001,1743764.58
2023-09-16 00:00:00,3.002,3.119,2.965,3.003,1400178.11
2023-09-17 00:00:00,3.005,3.005,2.872,2.929,1093097.04
2023-09-18 00:00:00,2.929,3.029,2.897,2.98,1320440.43
2023-09-19 00:00:00,2.981,3.06,2.971,3.029,1134736.18
2023-09-20 00:00:00,3.03,3.041,2.934,3.0,1096040.96
2023-09-21 00:00:00,3.001,3.016,2.88,2.901,999886.7
2023-09-22 00:00:00,2.901,2.938,2.827,2.921,1094784.1
2023-09-23 00:00:00,2.922,2.966,2.912,2.965,529864.78
2023-09-24 00:00:00,2.965,2.992,2.893,2.922,716420.28
2023-09-25 00:00:00,2.922,3.016,2.881,3.001,1029658.09
2023-09-26 00:00:00,3.001,3.009,2.921,2.958,949891.81
2023-09-27 00:00:00,2.956,3.027,2.906,2.933,1091840.93
2023-09-28 00:00:00,2.933,3.092,2.926,3.08,1574469.79
2023-09-29 00:00:00,3.08,3.196,3.057,3.142,1834539.59
2023-09-30 00:00:00,3.141,3.22,3.108,3.162,1100190.52
2023-10-01 00:00:00,3.161,3.341,3.152,3.305,1103933.46
2023-10-02 00:00:00,3.305,3.316,3.03,3.121,1321175.28
2023-10-03 00:00:00,3.124,3.16,3.055,3.125,1299717.11
2023-10-04 00:00:00,3.125,3.21,3.014,3.165,1388192.36
2023-10-05 00:00:00,3.166,3.175,3.027,3.054,731613.71
2023-10-06 00:00:00,3.057,3.129,3.04,3.072,685412.76
2023-10-07 00:00:00,3.071,3.13,3.051,3.096,565575.8
